title,description,genres
Storytelling,College and high school serve as the backdrop for two stories about dysfunction and personal turmoil.,"Comedy, Drama, Romance"
Mary and the Witch's Flower,"Based on ""The Little Broomstick"" by Mary Stewart, a strange flower grants a girl magic powers.","Animation, Adventure, Family"
Love Aaj Kal,An old-fashioned romantic tells his personal love story to a modern man who has just broken up with his girlfriend. Has love really ever changed?,"Comedy, Drama, Romance"
Red Road,"Jackie works as a CCTV operator. Each day she watches over a small part of the world, protecting the people living their lives under her gaze. One day a man appears on her monitor, a man she thought she would never see again, a man she never wanted to see again. Now she has no choice, she is compelled to confront him.","Drama, Mystery, Thriller"
Paris,"A ex-dancer has a heart problem and even with a transplant, he may still only have a few months to live. Time's spent looking at people/life in Paris from his balcony. His single mom sister moves in with her 3 kids to look after him.","Comedy, Drama, Romance"
Injustice,A David and Goliath law drama about a drug-addicted lawyer who takes on a health supply corporation while battling his own personal demons.,"Biography, Drama"
Cemetery Junction,A 1970s-set comedy centered on three young working class friends in a dreary suburb of Reading.,"Comedy, Drama"
The Nativity Story,A drama that focuses on the period in Mary and Joseph's life where they journeyed to Bethlehem for the birth of Jesus.,"Adventure, Drama, Family"
My Life,A terminally ill man prepares for his death.,Drama
Shaun the Sheep Movie: Farmageddon,"When an alien with amazing powers crash-lands near Mossy Bottom Farm, Shaun the Sheep goes on a mission to shepherd the intergalactic visitor home before a sinister organization can capture her.","Animation, Adventure, Comedy"
Young and Innocent,A man on the run from a murder charge enlists a beautiful stranger who must put herself at risk for his cause.,"Crime, Mystery, Romance"
Mammoth,"While on a trip to Thailand, a successful American businessman tries to radically change his life. Back in New York, his wife and daughter find their relationship with their live-in Filipino maid changing around them. At the same time, in the Philippines, the maid's family struggles to deal with her absence.","Drama, Romance"
Shaolin,"After ambushing and killing his rival, losing everything in the process, dispirited warlord Hou Jie turns to a Shaolin monastery seeking salvation.","Action, Drama"
Good Newwz,Two couples with the same surnames pursue in-vitro fertilization and wait for their upcoming babies. Trouble ensues when they find that the sperms of each couple have been mixed with each other.,"Comedy, Drama"
Che: Part Two,"In 1967, Ernesto 'Che' Guevara leads a small partisan army to fight an ill-fated revolutionary guerrilla war in Bolivia, South America.","Biography, Drama, History"
OSS 117: Lost in Rio,Another mission of world-known French secret agent leads him to exotic Brazil.,"Action, Adventure, Comedy"
"Torrente, el brazo tonto de la ley","José Luis Torrente, a former policeman fights against the oriental mafia in Madrid.","Comedy, Crime"
Steamboy,"In 1860s Britain, a boy inventor finds himself caught in the middle of a deadly conflict over a revolutionary advance in steam power.","Animation, Action, Adventure"
The Disappearance of Eleanor Rigby: Him,"Told from the male perspective, the story of a couple trying to reclaim the life and love they once knew and pick up the pieces of a past that may be too far gone.","Drama, Romance"
C'est la vie!,A hectic wedding party held in an 17th century French palace comes together with the help of the behind-the-scenes staff.,"Comedy, Drama, Romance"
Mary Kom,"A chronicle of the life of Indian boxer Mary Kom, who went through several hardships before audaciously accomplishing her ultimate dream.","Action, Biography, Drama"
The Hunting Party,"A young journalist, a seasoned cameraman and a discredited war correspondent embark on an unauthorized mission to find the No.1 war criminal in Bosnia. However, their extremely dangerous target decides to come after them.","Adventure, Comedy, Drama"
The Reluctant Fundamentalist,"A young Pakistani man chasing corporate success on Wall Street finds himself embroiled in a conflict between his American Dream, a hostage crisis, and the enduring call of his family's homeland.","Drama, Thriller"
One Chance,"The true story of Paul Potts, a shy, bullied shop assistant by day and an amateur opera singer by night who became a phenomenon after being chosen for -- and ultimately winning -- Britain's Got Talent (2007).","Biography, Comedy, Drama"
Big Bad Wolves,"After a little girl is brutally murdered, a suspect avoids arrest due to lack of evidence. Working separately, her father and a cop decide to do something about it.","Drama, Horror, Thriller"
A Bout Portant - Point Blank,"Samuel, a male nurse, saves the life of a thief whose henchmen take Samuel's wife hostage and force him to spring their boss.","Action, Crime, Drama"
Karan Arjun,Karan and Arjun reincarnate in the different parts of the country. But the faith of their previous mother brings them together in order to avenge their death.,"Action, Drama, Fantasy"
Snow Angels,"A drama that interweaves the life of a teenager, with his old baby sitter, her estranged husband, and their daughter.","Crime, Drama, Romance"
Jalla! Jalla!,"Roro, a foreign worker in Swedish parks, loves his girlfriend and wants to marry her, but he is about to marry another girl to prevent her from being sent back to her homeland, Lebanon. ... See full summary »","Comedy, Drama, Romance"
Hasee Toh Phasee,"Nikhil is re-introduced to Meeta nearly ten years after their first meeting. Now, as Nikhil has one week to prove himself worth enough to marry Meeta's sister Karishma, the old acquaintances become quite close to each other.","Comedy, Romance"
Infernal Affairs III,"Months after the events of the original film, Ming suspects a police superintendent as being a new mole for the triads, while years earlier, Yan embarks on his first mission.","Action, Crime, Drama"
Ishq,"Two rich friends, hating the poor, were challenged by their children's love lives. Thus starts the war between love and money.","Action, Comedy, Drama"
Populaire,1958. Rose is a terrible secretary but a demon typist. Her handsome boss resolves to turn her into the fastest girl in the world.,"Comedy, Romance, Sport"
Neruda,"An inspector hunts down Nobel Prize-winning Chilean poet, Pablo Neruda, who becomes a fugitive in his home country in the late 1940s for joining the Communist Party.","Biography, Crime, Drama"
People Places Things,Will Henry is a newly single graphic novelist balancing parenting his young twin daughters and a classroom full of students while exploring and navigating the rich complexities of new love and letting go of the woman who left him.,"Comedy, Romance"
Alone,"Tells about those people whose lives have been isolated by modern lifestyles; It is also Foods, mothers, old songs and love that this movie is consists of.","Drama, Romance"
Intacto,"In a world where luck can be taken from a lucky person by a luckier person's touch, a small group of lucky people compete to be the luckiest and for the other contestants' luck.","Action, Adventure, Drama"
Baadshah,A small time detective is mistaken as a CBI agent and gets embroiled in a deadly mission to save the Chief Minister from an assassination attempt.,"Action, Comedy, Crime"
Cookie's Fortune,Conflict arises in the small town of Holly Springs when an old woman's death causes a variety of reactions among family and friends.,"Comedy, Drama"
Singham,A truly honest police officer is transferred to a town controlled by a gangster he has humiliated. The gangster believes he can use good power to bring down this officer who made him look foolish and weak.,"Action, Crime, Drama"
Romantics Anonymous,"Jean-René, owner of a chocolate factory, and Angélique, a talented chocolate maker, are too shy to admit their love for each other. Will they come together thanks to their common passion?","Comedy, Romance"
Fifty Dead Men Walking,Martin McGartland joins the I.R.A. and feeds information to Britain's Special Branch Agent Fergus.,"Crime, Drama, Thriller"
